"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,4566072,1525463,1257290,271255
12,5132674,1831102,1344264,489920
13,5763424,1092534,1439655,-343140
14,6432579,1487701,1515566,-25072
15,7000520,977225,1795580,-814245
16,7714321,1451661,1849488,-393717
17,9491175,2192166,2187968,6253
18,10516623,2890930,2312425,579532
19,11447953,2907290,2475761,431529
20,12206347,3382739,2549802,832937
21,13097039,4032085,2654420,1379720
22,13993018,4617823,2728271,1890579
23,14886420,4288441,2993740,1295215
24,16653835,5791106,3118650,2672456
25,19104464,7895010,3242587,4652423
26,20816527,9290760,3361752,5929008
27,22674680,10515091,3550555,6964536
28,23384109,11018739,3668856,7349883
29,24314286,11400286,3996086,7404200
30,25251422,11953309,4075563,7877746
31,26105888,12517249,4195743,8321506
32,27120389,13255910,4270946,8984964
33,31426760,16319260,4393294,11925966
34,34220411,18246766,4531754,13715012
35,36902799,17998617,4986283,13012334
36,38806944,19609493,5177310,14432183
37,39754452,20107771,5290299,14817472
38,40767509,19618263,5592786,14025477
39,42083322,20601927,5764991,14836936
40,43186367,21317508,5872807,15444701
41,44536785,21861921,6107935,15753986
42,45490969,22486253,6211982,16274271
43,46531365,21483871,6654156,14829715
44,49787152,23884878,6737043,17147835
45,55495935,28691505,7056461,21635044
46,56411772,28712478,7275495,21436983
47,57293355,29352705,7356272,21996433
48,58157030,30020374,7497143,22523231
49,58916344,30562949,7651147,22911802
50,59976184,31380990,7757478,23623512
51,62363296,33514434,7948053,25566381
52,65437951,35710441,8084852,27625589
53,67504222,37242429,8202068,29040361
54,69747257,38834529,8893021,29941508
55,70827134,39643153,9197413,30445740
56,71944610,40144496,9476502,30667994
57,75293915,42968264,9703738,33264526
58,77170617,44558977,9886001,34672976
59,78166612,45225669,10023977,35201692
60,79156866,45675478,10201098,35474380
61,80455761,46366083,10404435,35961648
62,81649071,46699530,10615838,36083692
63,83200576,47948866,10763356,37185510
64,84832033,48711595,11157985,37553610
65,88226018,51429933,11290425,40139508
66,89174173,52115198,11536581,40578617
67,90614318,52013744,12015819,39997925
68,91834289,52604511,12268548,40335963
69,93359188,53898885,12528524,41370361
70,97365753,57087079,12660389,44426690
71,100271883,58985453,12877203,46108250
72,104028804,61400315,13073426,48326889
73,105661710,62021771,13304487,48717284
74,107456943,63548481,13446759,50101722
75,108652507,63251712,13724836,49526876
76,111045493,65430430,14163409,51267021
77,112715478,66781955,14303874,52478081
78,114059854,67794704,14425821,53368883
79,117003292,69493870,14900939,54592931
80,118666614,70813652,15043595,55770057
81,120326042,71102475,15440932,55661543
82,121637061,72119878,15562783,56557095
83,124461462,73921256,15891621,58029635
84,128828380,76688526,16011916,60676610
85,131664313,78881872,16136644,62745228
86,132528449,79482551,16359586,63122965
87,133242449,79419796,16615487,62804309
88,134518124,80369339,16762287,63607052
89,135775948,78269382,17561072,60708310
90,136600084,78926508,17686941,61239567